STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/24 06:59:25 (GMT)
EPICENTER COORDINATES   : 36.94630N-27.58850E
EARTHQUAKE DEPTH (km)   : 10.69
EARTHQUAKE MAGNITUDE    : 3.0 ML
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 24/07/2017 06:59:25.000000 (GMT)
NUMBER OF DATA          : 2333
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 0.669047 (E-W) 0.516467 (U-D) 0.437384
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.016917      0.004994    -0.007192
    0.002287     -0.008530     0.010075
    0.000504      0.001104    -0.011596
    0.005167     -0.003714     0.014237
   -0.004212      0.014905    -0.010640
    0.009556     -0.014983     0.002359
   -0.020811      0.012286     0.003429
    0.011570     -0.002185    -0.006666
    0.001941     -0.014353     0.004832
   -0.010004      0.037950    -0.017133
    0.018432     -0.051268     0.019233
   -0.007795      0.029635    -0.000423
    0.000761      0.002986    -0.010148
   -0.000586     -0.002923     0.009005
    0.000926     -0.006259    -0.001800
   -0.006328      0.015080    -0.000420
    0.007844     -0.017857    -0.008119
   -0.008214      0.008344     0.005222
    0.018940     -0.000225     0.010114
   -0.012574      0.014898    -0.013821
    0.003752     -0.035475     0.008852
   -0.013362      0.018395    -0.013290
    0.008216      0.011786     0.007624
    0.032082     -0.044762     0.000300
   -0.050131      0.076340     0.007061
    0.040800     -0.076894    -0.001285
   -0.028350      0.051808    -0.017230
    0.008780     -0.027831     0.020803
    0.006418      0.012145    -0.004123
   -0.002107      0.007832    -0.004679
    0.006058     -0.022278     0.003922
   -0.019759      0.036695    -0.009482
    0.024775     -0.047458     0.005987
   -0.033893      0.043004    -0.001300
    0.032509     -0.026379    -0.002464
   -0.008805      0.025251     0.005543
    0.010428     -0.033645    -0.007606
   -0.013203      0.031927     0.009089
    0.002013     -0.009015    -0.004501
    0.003154     -0.025419    -0.003884
   -0.011066      0.042126     0.002886
    0.028906     -0.029061     0.001015
   -0.027393      0.028780     0.001569
    0.030117     -0.042107    -0.003172
   -0.032297      0.050235    -0.000211
    0.020105     -0.024144     0.002041
   -0.007101     -0.007870    -0.001769
   -0.005953      0.002836     0.001088
    0.012725     -0.001632     0.003236
   -0.008942      0.006059    -0.007163
    0.014086      0.001107     0.001601
   -0.022953      0.003208     0.011477
    0.015538     -0.020929    -0.003682
   -0.017022      0.048750    -0.002233
    0.039918     -0.076859    -0.003301
   -0.033562      0.074566     0.011977
    0.000500     -0.066305    -0.010031
    0.004111      0.045617     0.004547
    0.002608     -0.001921     0.006632
    0.007381     -0.025044    -0.009460
   -0.028876      0.050838    -0.000954
    0.039786     -0.084800     0.006047
   -0.032625      0.092317    -0.001363
    0.029902     -0.078999    -0.005359
   -0.030981      0.078404     0.009783
    0.020112     -0.073755    -0.008377
   -0.008185      0.041400     0.007844
    0.001407     -0.009300    -0.010440
   -0.001549     -0.018233     0.004529
   -0.006905      0.049194    -0.002540
    0.027159     -0.058936     0.005764
